programmes,desc,target,link,org
Cheng San Family Service Centre,Cheng San Family Service Centre operates from two locations in the Cheng San and Teck Ghee Constituencies and support residents facing personal and family-related issues. ,,https://www.amkfsc.org.sg/,Cheng San Family Service Centre
Children in Action (CIA) - MDAS,Provides opportunities and access for children with special needs to be included in regular activities and inclusive play with their non-disabled peers.,Children with special needs,https://www.ncss.gov.sg/,Children in Action (CIA) - MDAS
Children in Action (CIA) - Rainbow Centre,Provides opportunities and access for children with special needs to be included in regular activities and inclusive play with their non-disabled peers.,Children with special needs,https://www.ncss.gov.sg/,"Rainbow Centre, Singapore"
CHILDREN OUTREACH @ CHILDREN'S SOCIETY: Preschool Education Outreach and Casework,"Working jointly with the Early Childhood Development Agency (ECDA), Singapore Children’s Society calls on families identified with children between the ages of 3 and 6 who are not registered at kindergartens or childcare centres. We assist and support these children’s enrolment into pre-schools, in order to better prepare them for subsequent years of formal education.",Children aged between 3 and 6 who are not enrolled in a Kindergarten or Childcare Centre,,"9 Bishan Place 
#05-02 Junction 8 Office Tower
Singapore 579837"
Children's Charities Association Of Singapore,"Children's Charities Association Of Singapore (CCA) is the coordinating body purposed to organize fund-raising projects for member charities which have the common objective of helping physically, mentally and socially disadvantaged children of Singapore","Physically, mentally and socially disadvantaged children in Singapore",http://www.childrenscharities.org.sg/,Children's Charities Association Of Singapore
Children's Services,1. Offers after-school care services through 6 centres to children from all backgrounds.,2. Offers learning intervention services to mainstream children with learning difficulties through 4 learning labs.,http://www.morningstar.org.sg/,Children's Services
Children's Wishing Well -,,"sports, and speech & drama workshops. [by Children's Wishing Well]",https://www.wishingwell.org.sg/,Children's Wishing Well
Children's Wishing Well -,,"Grant A Wish, Donors may select a child to support. Provides assistance where help is not available elsewhere. Items needed may include books, furniture, spectacles,",https://www.wishingwell.org.sg/,Children's Wishing Well
Children's Wishing Well,,Bring a group of children from low-income families to shop for fresh and nutritious food items. [by Children's Wishing Well],https://www.wishingwell.org.sg/,Children's Wishing Well
Children's Wishing Well,,,https://www.wishingwell.org.sg/,Children's Wishing Well
Children's Wishing Well - Reading Club,Read and share stories with children to develop their language skills and inculcate their interest in reading. [by Children's Wishing Well],Children from low-income families,https://www.wishingwell.org.sg/,Children's Wishing Well
Chinatown Cheng Hong TCM Clinic,Chinatown Cheng Hong TCM Clinic provides pro bono traditional Chinese treatment and medication to the needy. Initiative by Cheng Hong Welfare Service Society (CHWSS).,Senior citizens,http://chenghongwelfare.org/,Chinatown Cheng Hong TCM Clinic
Chong Hua Tong Senior Activity Centre,"Chong Hua Tong Senior Activity Centre provide a support network for seniors staying in rental flats.  The services provided include maintaining a register of older persons, managing the alert alarm system, forming mutual help groups, providing information and referral services and promoting social interaction",60 years old and above,,Chong Hua Tong Seniors Activity Centre
Chong Zheng Big Heart Student Care,The Big Heart Student Care helps to provide homely and conducive after-school care environment for students and complement MOE in providing educational and developmental support to the students. The student care also reach out to students from less privileged backgrounds and their families to provide holistic and family-centric assistance. [By The Self Help Groups Student Care Limited (SHGSCL)],Students of all races from low-income families,https://bigheartstudentcare.com/,Chong Zheng Primary School
Chongfu Big Heart Student Care,The Big Heart Student Care helps to provide homely and conducive after-school care environment for students and complement MOE in providing educational and developmental support to the students. The student care also reach out to students from less privileged backgrounds and their families to provide holistic and family-centric assistance. [By The Self Help Groups Student Care Limited (SHGSCL)],Students of all races from low-income families,https://bigheartstudentcare.com/,Chong Fu Student Care
CHWSS Afterlife Memorial Service (AMS),"Cheng Hong Welfare Service Society set up an Afterlife Memorial Service (AMS) alongside a fund for the financial needs of the service. As Singapore faces the issue of an aging population, more seniors would derive peace and security from knowing their funeral arrangements are well taken care of.",Senior citizens,http://chenghongwelfare.org/,CHWSS Afterlife Memorial Service (AMS)
CHWSS Bursary,"CHWSS distributes bursary awards annually to students from less well-to-do families. There are five categories for the bursary awards – University Level, Junior College/Polytechnic Level, I.T.E Level, Secondary Level and Primary Level",Students across various education background from less well-to-do families,http://chenghongwelfare.org/,CHWSS Bursary
CHWSS Care with Love Project,"Established in 2014, Care with Love is a project with over 80 student volunteers led by student coordinator Lim Rui Xian, from National University of Singapore Rotaract Club. As the vibrant and young group in Cheng Hong Welfare Service Society, the volunteers serve in various activities and bring cheer to the seniors.",Senior citizens,http://chenghongwelfare.org/,CHWSS Care with Love Project
CHWSS Meals Distribution,This programme is a joint partnership with Willing Hearts to distribute three meals every Saturday and Sunday to Kreta Ayer's elderly and needy residents,Please contact the organisation directly for more details.,http://chenghongwelfare.org/,CHWSS Meals Distribution
CHWSS Medical Centre,CHWSS Medical Centre provides pro bono traditional Chinese treatment and medication to the needy. Initiative by Cheng Hong Welfare Service Society (CHWSS).,Senior citizens,http://chenghongwelfare.org/,CHWSS Medical Centre
CHWSS Mobile TCM,Cheng Hong Welfare Service Society (CHWSS) launched their Mobile TCM Clinic spanning across 8 locations. Refer to http://chenghongwelfare.org/services/ for more information on the locations.,Senior citizens,http://chenghongwelfare.org/,CHWSS Mobile TCM
Ci You Infant & Toddler Care Centre,Aims to support low-income working parents by providing infant and toddler care services at low fees.,Infants,,Ci You Infant & Toddler Care Centre
Ci You Student Care Centre,"Aims to support low-income working parents by providing childcare services at low fees, together with schoolwork supervision and care for school-going children while their parents are at work.",Children from low-income families,,Pu Ti Lian She
CITY Community Services,"CITY Community Services, operated by St Andrew’s Cathedral under the umbrella of the Singapore Anglican Community Services (SACS), serve students in the primary schools. We work in partnership with schools and parents to help develop the character and potential of each child.","CITY stands for “Character In The Young”. Our mission is to build good character in school children, and to show Christian love by providing practical assistance to those in need. CITY promotes the welfare of children, regardless of race, nationality, religion or moral character.",http://sacs.org.sg/,CITY Community Services
CJC HELP Services Counters,"CJC aims to provide a wide range of support services for the litigants in Person (LIPs) and their family members, such as free practical and emotional support and free legal advice.","People, and their families, in need of legal aid",https://cjc.org.sg/,CJC HELP Services Counters
Clarity Community-Based Therapy and Counselling,"At Clarity, we have a team of clinical psychologist and professional counsellors who will access and provide counselling services to help clients to manage the symptoms and effects of their mental and emotional issues.",Anyone who is feeling overwhelmed by their problems and unable to cope,http://www.clarity-singapore.org/,Clarity Singapore Limited
Clarity Maternal Wellness,"larity now provides counselling to support women suffering from perinatal mood and anxiety disorders (PMADs).  If you know someone who needs help or would like to refer to us, call us on 67577990 or email us at ask@clarity-singapore.org",Women suffering from perinatal mood and anxiety disorders (PMADs),http://www.clarity-singapore.org/,Clarity Singapore Limited
Clarity Support Groups,Clarity support groups are organised for clients and their caregivers to impart a better understanding of mental illnesses. Clarity Singapore Limited (CSL) conducts skills-training for the caregivers to help them cope and rebuild positive relationships between the clients and their caregivers.,Caregivers of Persons with Mental Health Issues,http://www.clarity-singapore.org/,Clarity Singapore Limited
Clarity Workshop - Self-Worth,"Through a 3-session workshop, participants are introduced to the concept of self-approval and self-acceptance as the main keys to positive changes in areas of a person’s life, wellness and happiness.  [Workshop conducted by Clarity Singapore Limited (CSL)]",General Public,http://www.clarity-singapore.org/,Clarity Singapore Limited
Clarity YES,A platform for youths to be empowered through support and growth in their journey of living and leading purposeful lives.,"Through different activities, the YES Initiative aims to empower youths by providing a sense of purpose, ownership and self-efficacy. [by Clarity Singapore Limited (CSL)]",http://www.clarity-singapore.org/,Clarity Singapore Limited
Club HEAL Caregiver Support Group (BBE),Club HEAL carries out regular caregiver support group every 2nd Friday evening of the month to provide the necessary assistance that should rendered to caregivers,Caregivers of persons with mental health issues,http://www.clubheal.org.sg/,Club HEAL Caregiver Support Group (BBE)
Club HEAL Caregiver Support Group (Marsiling),Club HEAL carries out regular caregiver support group every 2nd Friday evening of the month to provide the necessary assistance that should rendered to caregivers,Caregivers of persons with mental health issues,http://www.clubheal.org.sg/,Club HEAL Caregiver Support Group (Marsiling)
Club HEAL Caregiver Support Group (Pasir Ris East),Club HEAL carries out regular caregiver support group every 2nd Friday evening of the month to provide the necessary assistance that should rendered to caregivers,Caregivers of persons with mental health issues,http://www.clubheal.org.sg/,Club HEAL Caregiver Support Group (Pasir Ris East)
Club HEAL Community Intervention Team (COMIT),"Club HEAL COMmunity Intervention Team, also known as COMIT, is embedded in the community to provide holistic services for clients with mental health needs and their caregivers so they can live and age well at home and in the community.",Persons with mental health issues,http://www.clubheal.org.sg/,Club Heal Bukit Batok
Club HEAL CREST,Club HEAL Community Resource Engagement and Support Team (CREST) service is a community-based programme which aims to serve a community safety net to reach out to those at risk of/with mental illness.,Persons with Mental Health Issues,http://www.clubheal.org.sg/,Club Heal Bukit Batok
Club HEAL Home Visits,Club HEAL conducts Home visits as part of our outreach program to get to know our participants better. It is also a good platform to understand better the participant’s family and way of life. Timings for home visits are flexible and conducted on a regular basis.,Persons with mental health issues,http://www.clubheal.org.sg/,Club Heal Bukit Batok
Club HEAL Mental Health Talks,"If you’re keen to engage Club HEAL mental health professionals to give a mental health talk at your workplace or school, please contact us at info@clubheal.org.sg / 6899 3463.",Please contact the organisation directly for more details.,http://www.clubheal.org.sg/,Club HEAL Mental Health Talks
Club HEAL Mental Wellness Centre (East),"Club HEAL Mental Wellness Centre aims to assist and empower persons with mental illness to reintegrate back to the community, club HEAL, through its day rehab service.",Persons with Mental Health Issues,http://www.clubheal.org.sg/,Club Heal Woodlands
Club HEAL Mental Wellness Centre (North),"Club HEAL Mental Wellness Centre aims to assist and empower persons with mental illness to reintegrate back to the community, club HEAL, through its day rehab service.",Persons with Mental Health Issues,http://www.clubheal.org.sg/,Club Heal @ Pasir Ris East
Club HEAL Mental Wellness Centre (West),"Club HEAL Mental Wellness Centre aims to assist and empower persons with mental illness to reintegrate back to the community, club HEAL, through its day rehab service.",Persons with Mental Health Issues,http://www.clubheal.org.sg/,Club Heal Bukit Batok
Coalition Against Bullying for Children & Youth (CABCY),"Coalition Against Bullying for Children & Youth (CABCY) has been working towards promoting awareness of the harms of bullying in Singapore through research and activities such as conferences, symposium, talks and workshops",Bully victims,www.cabcy.org.sg,International Plaza
COH Emmanuel Activity Centre @ Tampines,Christian Outreach To The Handicapped (COH - Emmanuel Activity Centres (EACs) provide a caring environment and work to promote more fulfilling lives for persons with disabilities.,Please contact SG Enable directly for applications for admission at 1800-8585-855 or contactus@sgenable.sg.,https://coh.org.sg/,520414
COH Emmanuel Activity Centre @ Toa Payoh,Christian Outreach To The Handicapped (COH - Emmanuel Activity Centres (EACs) provide a caring environment and work to promote more fulfilling lives for persons with disabilities.,Please contact SG Enable directly for applications for admission at 1800-8585-855 or contactus@sgenable.sg.,https://coh.org.sg/,Emmanuel Activity Centre
Comfort Keepers - Bedok Office,"Comfort Keepers are creating exceptional opportunities for individuals looking to do something special with their careers. They offer  tremendous opportunities in the rapidly growing field of in-home care, providing companionship, meal preparation, help around the house and other services",Health alliance workers,http://www.comfortkeepers.com.sg/,Comfort Keepers Joo Chiat
Comfort Keepers - Head Office,"Comfort Keepers are creating exceptional opportunities for individuals looking to do something special with their careers. They offer  tremendous opportunities in the rapidly growing field of in-home care, providing companionship, meal preparation, help around the house and other services",Health alliance workers,http://www.comfortkeepers.com.sg/,159557
Comfort Keepers - Jurong and Bukit Batok Offices,"Comfort Keepers are creating exceptional opportunities for individuals looking to do something special with their careers. They offer  tremendous opportunities in the rapidly growing field of in-home care, providing companionship, meal preparation, help around the house and other services",Health alliance workers,http://www.comfortkeepers.com.sg/,Comfort Keepers Bukit Batok
Comfort Keepers - Queenstown & Clementi,"Comfort Keepers are creating exceptional opportunities for individuals looking to do something special with their careers. They offer  tremendous opportunities in the rapidly growing field of in-home care, providing companionship, meal preparation, help around the house and other services",Health alliance workers,http://www.comfortkeepers.com.sg/,247974
Comfort Keepers Alzheimer's and Dementia Care,"Most people hope to age safely and comfortably in their own home, including those managing Alzheimer’s Disease. Many Alzheimer’s patients can safely stay in their own home for a period of time, and that’s where Comfort Keepers can provide care assistance. Many Comfort Keepers have been formally trained in how to provide in-home care for Alzheimer’s patients.",Health alliance workers,http://www.comfortkeepers.com.sg/,159557
COMIT O'JOY,"Funded by the Ministry of Health, COMIT O'JOY is a community mental health intervention programme catered to persons at risk of, or diagnosed with depression, anxiety and dementia who are 18 years old and above. We also provide information, tools and resources to support families and caregivers so they can better care for their loved ones.","People at risk of, or diagnosed with depression, anxiety and dementia",http://ojoywebsite.wixsite.com/,O' Joy Care Services
Commitment-Performance-Attitude Academy (CAPA),"A sport-based social work intervention programme that aims to nurture youths into confident and caring individuals. Teams train regularly on Saturday mornings, with personal coaching by staff.",Youths between 12 to 23 years old,http://www.carecorner.org.sg/,Commitment-Performance-Attitude Academy (CAPA)
Community Mental Health Team (CMHT),"The Adult Community Mental Health Team (CMHT) aims to maintain adult persons with mental health issues in the community for as long as possible, thus reducing hospital readmissions and length of stay.",Adults with mental health issues (18 to 65 years old),https://www.imh.com.sg/,IMH
Community Outreach,Provides food necessities on a regular basis and community bonding events for the disadvantaged in the North-East district.,Low-income families and needy elderly,http://oprenewal.org.sg/,Operation Renewal (Singapore)
Community Outreach Programmes,"Playeum run its play-based workshops in partnership with Ministries and other agencies.  Some examples are the recent Yayasan Mendaki Learning Festival 2014, the iPlay.iLearn Programme 2010 with Mendaki and Istana Art Event in 2010.  They have also participated in conferences such as the Ngee Ann Polytechnic and AECES Early Childhood Conference to promote play-based experiential learning to children.",Please contact the organisation directly for more details.,http://www.playeum.com/,Community Outreach Programmes
Community Outreach Programmes 2,Collaboration with Thye Hwa Kwan for young children and their families who are marginalized by their social ad economic circumstances.  The content of this programme is built on the belief that meaningful engagement in a creative environment has the potential to nurture children as self directed learners.,Please contact the organisation directly for more details.,http://www.playeum.com/,PLAYEUM LTD
Community Rehabilitation Services,Optimise patient’s functional recovery by providing sessional Occupational Therapy/ Physiotherapy rehabilitation program for the elderly,Seniors requiring day care services,http://www.renci.org.sg/,Community Rehabilitation Services
COMMUNITY SERVICES & PROGRAMMES @ Children's Society: In-house KidzSHinE,An after-school drop-in programme that is catered for children  aged between 9-12 years old. Programme duration is 4-hours and consists of groupwork on topics such as resilience as well as other activities such as homework and playtime.,Children can choose to drop in any day and time within the operating hours. The program is also customisable to be conducted as a school-based programme.,https://www.childrensociety.org.sg/,Community Services & Programmes @ Children's Society
"COMMUNITY SERVICES & PROGRAMMES @ Children's Society: School-Based Programmes (Anger Management, Social-emotional learning, Resilience)",School-based programme consisting of groupwork that is aimed at addressing issues such as anger management as well as building social-emotional learning and resilience in children.,Children (7 - 12yo),https://www.childrensociety.org.sg/,Community Services & Programmes @ Children's Society
COMNET @ Sin Ming (Seniors Activity Centre),"COMNET Senior Activity Centres (SACs) engage seniors in various activities such as morning exercises, games, health and wellness programmes, as well as arts and crafts sessions. The SACs provide regular outreach, monitoring and support to seniors living within the block. COMNET operates four SACs in Ang Mo Kio, Bishan and Sengkang. [A programme by AMKFSC Community Services]",60 years old and above,https://www.amkfsc.org.sg/,COMNET @ Sin Ming (Seniors Activity Centre)
COMNET @ TeckGhee (Senior Activity Centre),"COMNET Senior Activity Centres (SACs) engage seniors in various activities such as morning exercises, games, health and wellness programmes, as well as arts and crafts sessions. The SACs provide regular outreach, monitoring and support to seniors living within the block. COMNET operates four SACs in Ang Mo Kio, Bishan and Sengkang.",60 years old and above,https://www.amkfsc.org.sg/,COMNET @ TeckGhee (Senior Activity Centre)
COMNET Befriending Service,"COMNET Befriending Service was developed to supplement existing services in improving the lives of needy seniors through a combination of home visits, telephone befriending and structured activities. Volunteers, known as Carers, befriend and attend to the majority of seniors, while staff members tend to those with more complex needs. [A programme by AMKFSC Community Services]",60 years old and above,https://www.amkfsc.org.sg/,COMNET Befriending Service
COMNET Cluster Support @ North-East,"COMNET's SAC-CS is a key function of the Senior Cluster Networks at Ang Mo Kio/Bishan and Northeast. It provides case management, basic counselling and monitoring services to vulnerable seniors to support and enable them to live within the community. [A programme by AMKFSC Community Services]",Seniors with no or low family support requiring continued assistance and assistance with ADL or IADL,https://www.amkfsc.org.sg/,COMNET Cluster Support @ North-East
COMNET Senior Activity Centre - Cluster Support (SAC-CS),"COMNET's SAC-CS is a key function of the Senior Cluster Networks at Ang Mo Kio/Bishan and Northeast. It provides case management, basic counselling and monitoring services to vulnerable seniors to support and enable them to live within the community. [A programme by AMKFSC Community Services]",Seniors with no or low family support requiring continued assistance and assistance with ADL or IADL,https://www.amkfsc.org.sg/,COMNET Senior Activity Centre - Cluster Support (SAC-CS)
COMNET Senior Activity Centre @ 182 Rivervale Crescent,"COMNET Senior Activity Centres (SACs) engage seniors in various activities such as morning exercises, games, health and wellness programmes, as well as arts and crafts sessions. The SACs provide regular outreach, monitoring and support to seniors living within the block. COMNET operates four SACs in Ang Mo Kio, Bishan and Sengkang. [A programme by AMKFSC Community Services]",Frail seniors with no or poor family support,https://www.amkfsc.org.sg/,COMNET Senior Activity Centre @ 182 Rivervale Crescent
COMNET Senior Group Home @ Rivervale Crescent,"Located in Sengkang, the Senior Group Home @ Rivervale Crescent is an assisted living option for frail seniors with no or poor family support. These seniors co-reside independently in HDB rental flats retrofitted with elder-friendly features. [A programme by AMKFSC Community Services]",60 years old and above,https://www.amkfsc.org.sg/,COMNET Senior Group Home @ Rivervale Crescent
Compassion Fund,Compassion Fund is a non-profit organisation. It welcomes all helpful financial contributions to strengthen our cause. Assist us in creating better lives in our society,Financial contributors,http://www.compassionfund.sg/,Compassion Fund
Concord Big Heart Student Care,The Big Heart Student Care helps to provide homely and conducive after-school care environment for students and complement MOE in providing educational and developmental support to the students. The student care also reach out to students from less privileged backgrounds and their families to provide holistic and family-centric assistance. [By The Self Help Groups Student Care Limited (SHGSCL)],Students of all races from low-income families,https://bigheartstudentcare.com/,Concord Primary School
ConneXUS,ConneXus launched in August 2006 is an initiative of SIET to provide a platform for Indian,exchange of information and enable experienced professionals to mentor to students and young working adults,http://www.siet-trust.org.sg,Singapore Indian Education Trust
Cornerstone Caregiver Support Programme,This programme aims to equip caregiver with techniques and resources on quality caregiving and allows them to connect with other caregivers. Caregivers meet monthly to share and learn how they can provide better care for their loved ones and themselves. [Service by Cornerstone Community Services],Caregivers,http://www.cornerstoneservices.org.sg/,Cornerstone Community Services
Cornerstone Counselling Sessions,"Each counselling session will last approximately 45 minutes to an hour. However, the number of counselling sessions you require will be determined in part by the nature of your concerns and the goals set by you and your counsellor. Counselling fees differ, as they are determined by a few criteria and reviewed on a case by case basis. [Service by Cornerstron Community Services]","Families with financial, behavioural and interpersonal difficults, and marital/family conflicts.",http://www.cornerstoneservices.org.sg/,Cornerstone Community Services
Cornerstone Development Initiatives,The Cornerstone Development Initiatives seeks to ensure that every child has an opportunity to complete their foundational education despite their family circumstances. The School Allowance funds are awarded to selected Primary and Secondary students who have qualified in our application and selection processes.,Primary and Secondary School Students who have qualified in our application and selection processes.,http://www.cornerstoneservices.org.sg/,Cornerstone Community Services
Cornerstone Family Life Education,"We believe that family is the foundation of the nation. Our Family Life Education programme covers workshop topics that apply to families, parents, couples, youths and seniors with the focus on fundamental values to building a healthy family system.  [Service by Cornerstron Community Services]",Families,http://www.cornerstoneservices.org.sg/,Cornerstone Community Services
Cornerstone Food Care Programme,"Cornerstone Food Care Programme started in March 2013 with the aim of helping needy families in financial difficulties. Through this programme, the families can obtain food and daily necessities at no cost. Apart from providing the food pack, this programme serves to provide additional social and emotional support to the needy families through our volunteers.",Needy families in financial difficulties,http://www.cornerstoneservices.org.sg/,Cornerstone Community Services
Cornerstone Seniors Befriending,"This initiative aims to bring love, hope and care to the seniors island-wide. Regular visits by our team of friendly befrienders will provide a listening ear and offer practical help to the seniors. Special activities will be organised during festive seasons for our seniors to participate. [Service by Cornerstone Community Services]",Senior citizens who are 55 years old and above,http://www.cornerstoneservices.org.sg/,Cornerstone Community Services
Cornerstone Short Term Assistance,Cornerstone Short Term Assistance in other forms to the needy families on an ad-hoc basis based on their need assessment.,Need families based on their need assessment,http://www.cornerstoneservices.org.sg/,Cornerstone Community Services
Cornerstone Silver Activities,"Cornerstone Community Services' Silver Activities provides regular activities ranging from exercises, outings to informative talks are organised for the senior citizens to keep them active and meet their social and emotional needs",Senior citizens,,Cornerstone Community Services
Cornerstone Youth Mentoring,"Launched in 2012, to provide social and emotional mentoring support to students aged 10 to 18 years old as they journey through their schooling years. Mentors are matched with students from lower income families to befriend and mentor them. Our mentors are carefully selected to be responsible, mature and of good character. [Service by Cornerstone Community Services]",Youth between 10 to 18 years old,http://www.cornerstoneservices.org.sg/,Cornerstone Community Services
Cornerstone Youth Outreach,"Cornerstone Youth Outreach Service takes great pleasure in being a part of the nurturing process, nurturing the youths to reach their potential and become socially responsible adults",Youths who are students,http://www.cornerstoneservices.org.sg/,Cornerstone Community Services
Council for Third Age Ltd (C3A),"The Council for Third Age, C3A, set up in May 2007, is an agency which promotes active ageing in Singapore through public education, outreach and partnerships. As an umbrella body in the active ageing landscape, with its focus on lifelong learning, senior volunteerism, and positive ageing, C3A works with and through partners to help third agers age well.",Senior citizens,http://www.c3a.org.sg/,Council for Third Age
Counselling,"Counselling, Dharma lessons and Refuge-taking ceremony for inmates of prisons, drug rehabilitation centres and Singapore Armed Forces Detention Barracks","Mainly prison inmates in prisons, drug rehabilitation centres and Singapore Armed Forces Detention Barracks",http://www.buddhist.org.sg/,Counselling
Counselling (Focus on the Family Singappore Limited),"At Focus on the Family, they believe that everyone has a voice and it deserves to be heard. Counsellors understand that life can be overwhelming, especially when juggling work and family. Likewise, relationships can also get strained when there are issues that are seemingly impossible to resolve","Individuals, married couples and families",https://www.family.org.sg/,Focus on The Family Singapore Limited
Counselling Services,"They offer counselling services to those who need someone to talk to in their life journey. Their services are non-chargeable, voluntary and confidential. This is a place where clients can share about their concerns and explore ways they can manage their situation.","Senior citizens, children and youth",http://www.pottersplace.org.sg/,Counselling Services
Court Facilitators,Law students provide immediate assistance to the Litigants-in-Persons and their family members on the Court processes and refer them for legal and social assistance if necessary.,"People, and their families, in need of legal aid",https://cjc.org.sg/,The Community Justice Centre Limited
CPAS - EIPIC,Cerebral Palsy Alliance Singapore (CPAS) - EIPIC programme provides early therapy intervention for children aged from a few months to 6 years old who suffer from one or more disabilities. EIPIC equips them with skills which will prepare them for admission into either a Special Education School or mainstream school,"Children below 7 years old and diagnosed with cerebral palsy, autism spectrum disorder, chromosomal abnormalities, Down's Syndrome, Global Developmental Delay, communication disorders or other special needs",http://www.cpas.org.sg/,CPAS - EIPIC
CPAS - Therapy Rehabilitation,"Cerebral Palsy Alliance Limited (CPAS) speech & language pathology, physiotherapy and occupational therapy departments provide rehabilitative services for in-house and clients who are not enrolled with SCAS.  Volunteer doctors also provide their services within the SCAS premises.  Clients utilising the outpatient services include disabled children attending mainstream or other special schools",Persons diagnosed with cerebral palsy and/or related disabilities ,http://cpas.org.sg/,CPAS - Therapy Rehabilitation
CPAS Day Activity Centre,"Established in February 2006, Cerebral Palsy Alliance Singapore (CPAS) DAC provides care and skills training to persons with Cerebral Palsy and other associated physical disabilities, aged 16 to 55 years, who are not suitable for sheltered employment or whose family members are unable to take care of them during the day","Persons with cerebral palsy and other associated physical disabilities, aged 16 to 55 years, who are not suitable for sheltered employment or whose family members are unable to take care of them during the day",http://cpas.org.sg/,CPAS Day Activity Centre
CPAS GROW (Goodwill Rehabilitation and Occupational Workshop),CPAS GROW (Goodwill Rehabilitation and Occupation Workshop) was established in September 1984. It is a sheltered workshop that provides vocational training and sheltered employment for adults aged 16 years old and above with Cerebral Palsy and other associated disability conditions,Adults aged 16 years old and above with Cerebral Palsy and other associated disability conditions,http://www.cpas.org.sg/,CPAS GROW (Goodwill Rehabilitation and Occupational Workshop)
CPAS School,"At Cerebral Palsy Alliance Singapore School (CPASS), we offer the SPED Curriculum, as recommended by the Ministry of Education. In this curriculum, students pursue learning outcomes in three areas:",Living,http://cpas.org.sg/,Cerebral Palsy Alliance Singapore School (CPASS)
Crime Library (Singapore),Crime Library (Singapore) portal was set up in hopes to promote awareness and prevent crimes. It also helps families locate family members who have gone missing.,General public,http://www.crime-library.org/,324108
CRS Bridge Programme,Club Rainbow (Singapore) (CRS) - BRIDGE Programme aims to equip beneficiaries between the age of 13 to 20 years old with competency and vocation skills.,Youth with chronic illness between the age of 13 to 20 years old,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CRS Caregiver Support,Parent Support Group consist of 12 groups. Each support group is led by a CRS parent/volunteer as facilitator and a CRS staff/volunteer as co-facilitator. PSGs members are encouraged to meet at least once every quarter. A good opportunity to widen and build up your social network with parents who are in the same situation as you.,Parents of children with chronic illness,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CRS Educational Assistance,The Club Rainbow Education service aims to provide supplementary education support and assistance schemes to the families and children whose education may have been set back because of the medical and emotional strain that the Club Rainbow (Singapore) (CRS) child goes through due to his illness.,Children with chronic illnesses & their families,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CRS Emotional Support,"Case worker from Club Rainbow (Singapore) (CRS) journeys alongside the family, providing meaningful practical and emotional support in the course of their life’s passage. Individual and groupwork counselling are also provided. The families can contact their pre-assigned respective case workers should they need support or have any further enquiries.",Children with chronic illnesses & their families,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CRS Family Resource Centre (KKH),"CRS Family Resource Centre (KKH) provide a wide range of updated resources for the beneficiaries who are warded at the hospital.  Caregivers and beneficiaries may visit our centres to borrow the books, board games, art materials, etc.  Tuition is also conducted for our beneficiaries who are warded at the hospitals or are there for medical appointments.",Children with chronic illnesses & their families,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CRS Family Resource Centre (NUH),CRS Family Resource Centre (NUH) is located at Level 4 of Main Building (right outside ward 47). It provide a wide range of updated resources for the beneficiaries who are warded at the hospital.  Tuition is also conducted for our beneficiaries who are warded at the hospitals or are there for medical appointments.,Children with chronic illnesses & their families,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CRS Financial Support,"Club Rainbow (Singapore) (CRS) provides financial assistance, both monetary and in-kind, to our beneficiaries and their families in need. Assistance in-kind includes milk powder, diapers (children and adult sizes), dry food provisions and other daily essentials donated by members of the public as well as corporations.",Children with chronic illnesses & their families,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CRS Informational Resources,"Club Rainbow (Singapore) (CRS) organizes regular talks, seminars and workshops in which medical practitioners and other professionals share their knowledge with parents thereby assisting them to manage their children’s medical problems and other problems at home.",Children with chronic illnesses & their families,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CRS Parent Support Group,Parent Support Groups (PSGs) consist of 12 groups. Each support group is led by a Club Rainbow (Singapore) (CRS) parent/volunteer as facilitator and a CRS staff/volunteer as co-facilitator. PSGs members are encouraged to meet at least once every quarter. A good opportunity to widen and build up your social network with parents who are in the same situation as you.,Parents of children with chronic illness,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CRS Social Integration,Social integration programmes are a medium to incorporate balance in the physical and emotional aspects of a child’s life. These programmes by Club Rainbow (Singapore) (CRS) are generally social but can also be partly educational and therapeutic. Some of our programmes are illness specific.,Children with chronic illnesses & their families,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CRS Therapy Services,"CRS Family Resource Centre (KKH) is located at PEC (Women Tower Level 1, next to Mcdonald's). It provide a wide range of updated resources for the beneficiaries who are warded at the hospital.  Tuition is also conducted for our beneficiaries who are warded at the hospitals or are there for medical appointments.",Children with chronic illnesses & their families,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CRS Transport Service,Club Rainbow (Singapore) (CRS) provide transport service for beneficiaries with mobility issues.  This service is non-chargeable and is available for:b Therapy services and swimming; Tuition; Medical appointments to and from the hospital; Appointments with Club Rainbow social service staff; and Club Rainbow events.,Children with chronic illnesses & their families,https://www.clubrainbow.org/,Club Rainbow (Singapore)
